0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:31 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:31 +0530] "PUT /ShoeRack/cart/removeCartItem/7 HTTP/1.1" 500 12615
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:31 +0530] "PUT /ShoeRack/cart/removeCartItem/10 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:31 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:35 +0530] "PUT /ShoeRack/cart/removeCartItem/11 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:35 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/cart/getCartId HTTP/1.1" 200 6130
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/cart/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/cart/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/cart/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/cart/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:40 +0530] "GET /ShoeRack/cart/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:41 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:41 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:49 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/13.png HTTP/1.1" 200 284901
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/14.png HTTP/1.1" 200 35153
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/16.png HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/17.png HTTP/1.1" 200 33425
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:50 +0530] "GET /ShoeRack/all/product/Resources/Images/18.png HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/all/product/viewProduct/13 HTTP/1.1" 200 6216
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:49:53 +0530] "GET /ShoeRack/all/product/viewProduct/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:06 +0530] "PUT /ShoeRack/cart/addCartItem/13 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:07 +0530] "PUT /ShoeRack/cart/addCartItem/13 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/cart/getCartId HTTP/1.1" 200 6130
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/cart/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/Resources/js/controller.js HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/cart/Resources/Images/logo.png HTTP/1.1" 200 20234
